Target_word;frequency_ZipfSUBTLEX;syllables
salz;4,080904808;1
fleck;4,098974065;1
durst;4,153891952;1
rauch;4,332376025;1
krebs;4,421258185;1
hut;4,662254238;1
wein;4,685088493;1
glas;4,708792533;1
loch;4,72872229;1
schwert;4,804161899;1
muenze;4,013484673;2
pflanzen;4,152690584;2
wade;4,244518241;2
fabrik;4,340258174;2
geschmack;4,391063399;2
jacke;4,444602796;2
kuchen;4,57790677;2
zeitung;4,656635861;2
hoffnung;4,801469426;2
schaetze;4,982751161;2
cousine;4,008483146;3
kleinigkeit;4,043889702;3
geraeusche;4,163385106;3
politik;4,354095274;3
dunkelheit;4,397957107;3
medizin;4,60293116;3
restaurant;4,63260988;3
patienten;4,687904027;3
gebaeude;4,836231533;3
kontrolle;4,92090424;3
